batch_date,processed_at,total_trips,total_revenue,avg_fare,avg_distance,avg_duration_min,avg_speed_mph,cash_trips,credit_trips,weekend_trips
2003-01-01,2026-04-14T18:48:49.346805,2,190.8,88.75,17.36,42.58,20.63,2,0,0
2009-01-01,2026-04-14T18:48:49.482155,1,16.4,11.4,1.92,8.92,12.91,1,0,0
2023-01-01,2026-04-14T18:48:49.700376,69646,2140335.13,21.86,4.4,15.18,15.35,16157,52781,69646
2023-01-02,2026-04-14T18:48:49.870374,61635,1934759.87,22.24,4.65,14.68,15.9,14416,46599,0
2023-01-03,2026-04-14T18:48:50.095713,80248,2356680.75,20.17,3.95,15.26,13.08,17622,61886,0
2023-01-04,2026-04-14T18:48:50.251995,89296,2513116.61,19.13,3.61,14.97,12.43,18355,70167,0
2023-01-05,2026-04-14T18:48:50.439388,94921,2594735.88,18.47,3.43,14.66,12.12,18250,75889,0
2023-01-06,2026-04-14T18:48:50.606937,96383,2573241.34,17.91,3.27,14.47,11.77,17901,77657,0
2023-01-07,2026-04-14T18:48:50.778757,98872,2535655.29,17.69,3.29,13.51,12.89,17745,80238,98872
2023-01-08,2026-04-14T18:48:50.938388,79863,2281002.95,19.88,4.04,13.57,15.07,14444,64718,79863
2023-01-09,2026-04-14T18:48:51.093150,79849,2246698.71,18.99,3.66,14.44,12.91,14857,64300,0
2023-01-10,2026-04-14T18:48:51.251800,94095,2502532.27,17.75,3.22,14.29,11.81,16457,76903,0
2023-01-11,2026-04-14T18:48:51.412210,99942,2633968.88,17.51,3.16,14.16,11.71,16829,82341,0
2023-01-12,2026-04-14T18:48:51.583275,104179,2883758.2,18.53,3.34,15.51,11.29,17085,86308,0
2023-01-13,2026-04-14T18:48:51.755205,103801,2923724.07,18.81,3.49,15.28,11.78,17923,85035,0
2023-01-14,2026-04-14T18:48:51.926692,106234,2778131.25,17.94,3.27,14.12,12.29,18183,87087,106234
2023-01-15,2026-04-14T18:48:52.090869,90837,2471497.32,18.77,3.64,13.54,13.92,15845,74176,90837
2023-01-16,2026-04-14T18:48:52.254364,75240,2182720.4,20.0,4.06,13.92,14.58,13126,61465,0
2023-01-17,2026-04-14T18:48:52.416384,94822,2667459.45,18.86,3.49,15.08,12.01,15982,78093,0
2023-01-18,2026-04-14T18:48:52.584966,99892,2718874.05,18.17,3.25,15.0,11.44,16623,82488,0
2023-01-19,2026-04-14T18:48:52.761504,107078,2883732.35,17.98,3.06,15.78,10.36,16987,89256,0
2023-01-20,2026-04-14T18:48:52.930577,102915,2781120.65,18.05,3.24,14.98,11.39,17623,84433,0
2023-01-21,2026-04-14T18:48:53.106835,105381,2631071.14,17.1,3.08,13.47,12.29,17186,87263,105381
2023-01-22,2026-04-14T18:48:53.263620,83999,2323660.42,19.07,3.75,13.68,14.17,14017,69289,83999
2023-01-23,2026-04-14T18:48:53.431787,84035,2306254.72,18.37,3.46,14.25,12.36,14786,68542,0
2023-01-24,2026-04-14T18:48:53.593488,97695,2591398.73,17.62,3.12,14.49,11.41,16351,80569,0
2023-01-25,2026-04-14T18:48:53.766666,101891,2645190.84,17.17,2.95,14.6,10.68,16047,85088,0
2023-01-26,2026-04-14T18:48:53.940373,107770,2940978.69,18.18,3.23,15.18,11.25,16961,89976,0
2023-01-27,2026-04-14T18:48:54.111106,104921,2824194.94,17.9,3.21,14.81,11.36,17578,86480,0
2023-01-28,2026-04-14T18:48:54.281487,104875,2629551.51,17.18,3.02,14.06,11.72,17126,86827,104875
2023-01-29,2026-04-14T18:48:54.440780,82579,2291654.88,19.14,3.76,13.65,14.26,13545,68367,82579
2023-01-30,2026-04-14T18:48:54.594619,78457,2194536.84,18.82,3.56,14.6,12.59,13919,63874,0
2023-01-31,2026-04-14T18:48:54.754538,94261,2536148.56,18.02,3.08,15.39,10.92,15157,78365,0
